Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1345801	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	protein-coding	involved_in	IDA	16	18,791,667	18,801,549	UniProt, UniProt	UniProt	PMID:12754298 	  (PMID:12754298)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	732370	ARRB1	arrestin beta 1	protein-coding	involved_in	ISO	11	75,260,122	75,351,661	UniProt	UniProt	PMID:19915011 	  (MGI:4453294|PMID:19915011)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	731570	ARRB2	arrestin beta 2	protein-coding	involved_in	ISO	17	4,710,632	4,721,497	Ensembl, Ensembl, RGD	Ensembl,RGD	PMID:19171933 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	68968	AVP	arginine vasopressin	protein-coding	involved_in	IDA	20	3,082,556	3,084,724	UniProt, UniProt	UniProt	PMID:18402937 	  (PMID:18402937)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1347209	BIRC2	baculoviral IAP repeat containing 2	protein-coding	involved_in	IEA	11	102,347,214	102,378,670	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	732624	BIRC3	baculoviral IAP repeat containing 3	protein-coding	involved_in	IEA	11	102,317,484	102,339,403	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737482	BIRC5	baculoviral IAP repeat containing 5	protein-coding	involved_in	IEA	17	78,214,253	78,225,635	UniProt, UniProt, GOC, GOC	UniProt,GOC	PMID:9859993 PMID:12773388 	  (PMID:12773388),  (PMID:9859993)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1345581	BIRC7	baculoviral IAP repeat containing 7	protein-coding	involved_in	IEA	20	63,235,905	63,240,495	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1349757	BIRC8	baculoviral IAP repeat containing 8	pseudo	involved_in	IEA	19	53,289,601	53,291,434	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1606185	CARD16	caspase recruitment domain family member 16	protein-coding	involved_in	IDA	11	105,041,563	105,045,335	UniProt, UniProt	UniProt	PMID:16920334 	  (PMID:16920334)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1353701	CD27	CD27 molecule	protein-coding	involved_in	IEA	12	6,444,955	6,451,713	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737036	CD44	CD44 molecule (Indian blood group)	protein-coding	involved_in	IMP	11	35,139,171	35,232,402	UniProt, UniProt	UniProt	PMID:19047049 	  (PMID:19047049)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1346352	CDKN2D	cyclin dependent kinase inhibitor 2D	protein-coding	involved_in	IMP	19	10,566,460	10,568,979	BHF-UCL, BHF-UCL	BHF-UCL	PMID:15750620 	  (PMID:15750620)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1347509	CFLAR	CASP8 and FADD like apoptosis regulator	protein-coding	acts_upstream_of_or_within	ISO	 2	201,116,164	201,176,687	MGI	MGI	PMID:16263940 	  (MGI:3612311|PMID:16263940)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	735272	CRYAA	crystallin alpha A	protein-coding	acts_upstream_of_or_within	ISO	21	43,169,008	43,172,810	MGI	MGI	PMID:16439475 	  (MGI:3617146|PMID:16439475)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737518	CRYAB	crystallin alpha B	protein-coding	involved_in,acts_upstream_of_or_within	ISO	11	111,908,564	111,923,740	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:16439475 	  (MGI:3617146|PMID:16439475)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	733323	CSNK2A1	casein kinase 2 alpha 1	protein-coding	involved_in	IMP	20	472,498	543,790	UniProt, UniProt	UniProt	PMID:16193064 	  (PMID:16193064)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1352934	DDX3X	DEAD-box helicase 3 X-linked	protein-coding	involved_in	IMP	  X	41,333,308	41,364,472	UniProt, UniProt	UniProt	PMID:18846110 	  (PMID:18846110)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1315197	DHCR24	24-dehydrocholesterol reductase	protein-coding	involved_in	IDA	 1	54,849,627	54,887,195	UniProt, UniProt	UniProt	PMID:11007892 	  (PMID:11007892)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1315195	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	protein-coding	involved_in	IDA	16	4,425,868	4,456,775	UniProt, UniProt	UniProt	PMID:10411904 	  (PMID:10411904)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1349519	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	protein-coding	involved_in	IDA	 7	157,337,004	157,417,439	UniProt, UniProt	UniProt	PMID:11896048 	  (PMID:11896048)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1350537	DPEP1	dipeptidase 1	protein-coding	involved_in	IMP	16	89,613,308	89,641,540	UniProt, UniProt	UniProt	PMID:20435919 	  (PMID:20435919)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1348463	EP300	E1A binding protein p300	protein-coding		ISO	22	41,092,592	41,180,077	RGD	RGD	PMID:22562121 	cardiac myocytes
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	736881	FABP1	fatty acid binding protein 1	protein-coding	involved_in	IDA	 2	88,122,982	88,128,062	UniProt, UniProt	UniProt	PMID:16175609 	  (PMID:16175609)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1606476	FNIP1	folliculin interacting protein 1	protein-coding	involved_in,acts_upstream_of_or_within	ISO	 5	131,641,714	131,797,017	UniProt, Ensembl, UniProt, MGI	UniProt,Ensembl,MGI	PMID:22709692 	  (MGI:5444323|PMID:22709692)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	736280	GAS6	growth arrest specific 6	protein-coding	involved_in	IDA	13	113,820,549	113,864,076	UniProt, UniProt	UniProt	PMID:16723520 	  (PMID:16723520)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1344852	GPI	glucose-6-phosphate isomerase	protein-coding	involved_in	ISO	19	34,359,718	34,402,413	Ensembl, Ensembl, RGD	Ensembl,RGD	PMID:12615053 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737005	GPX1	glutathione peroxidase 1	protein-coding	involved_in	IMP	 3	49,357,176	49,358,353	BHF-UCL, BHF-UCL	BHF-UCL	PMID:12221075 	  (PMID:12221075)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	733943	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	protein-coding		ISO	16	56,932,142	56,944,864	RGD	RGD	PMID:15102845 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	70837	HGF	hepatocyte growth factor	protein-coding	involved_in	IDA	 7	81,699,010	81,770,047	BHF-UCL, BHF-UCL	BHF-UCL	PMID:20655899 	  (PMID:20655899)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737153	HNF1A	HNF1 homeobox A	protein-coding	involved_in	IEA	12	120,978,543	121,002,512	RGD, Ensembl	RGD,Ensembl	PMID:21874357 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	736398	HSPA1B	heat shock protein family A (Hsp70) member 1B	protein-coding	acts_upstream_of_or_within	ISO	 6	31,827,738	31,830,254	RGD, MGI	RGD,MGI	PMID:11879190 PMID:16397188 	reduced cleavage of Casp8 and Casp9 in brain following hypoxic/ischemic injury,  (MGI:2177029|PMID:11879190)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1342870	IFI6	interferon alpha inducible protein 6	protein-coding	involved_in	IMP	 1	27,666,064	27,672,192	GO_Central, HGNC-UCL, GO_Central, HGNC-UCL	GO_Central,HGNC-UCL	PMID:15685448 PMID:21873635 	  (PMID:21873635),  (PMID:15685448)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	732872	IGBP1	immunoglobulin binding protein 1	protein-coding	involved_in	IMP	  X	70,133,447	70,166,324	UniProt, UniProt	UniProt	PMID:17438131 	  (PMID:17438131)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	70506	IGF1	insulin like growth factor 1	protein-coding	involved_in	ISO	12	102,395,874	102,481,839	BHF-UCL	BHF-UCL	PMID:17023532 	PMID:17023532
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1605405	IL24	interleukin 24	protein-coding	acts_upstream_of_or_within	ISO	 1	206,897,443	206,904,139	MGI	MGI	PMID:18708357 	  (MGI:3821693|PMID:18708357)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1352582	IL6	interleukin 6	protein-coding		ISO	 7	22,727,200	22,731,998	RGD	RGD	PMID:19061939 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1606801	INTS1	integrator complex subunit 1	protein-coding	acts_upstream_of_or_within,involved_in	IEA	 7	1,470,277	1,504,389	MGI, Ensembl	MGI,Ensembl	PMID:17544522 	  (MGI:3722560|PMID:17544522)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1342656	KLF4	KLF transcription factor 4	protein-coding	involved_in	IDA	 9	107,484,852	107,489,769	BHF-UCL, BHF-UCL	BHF-UCL	PMID:20551324 	  (PMID:20551324)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1317407	LAMP3	lysosomal associated membrane protein 3	protein-coding	involved_in	IMP	 3	183,122,215	183,163,813	ParkinsonsUK-UCL, ParkinsonsUK-UCL	ParkinsonsUK-UCL	PMID:25681212 	  (PMID:25681212)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1312775	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	protein-coding	involved_in	IDA	 1	110,401,253	110,407,924	InterPro, UniProt, InterPro, UniProt	InterPro,UniProt	PMID:12773388 	  (PMID:12773388)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1353296	MAGEA3	MAGE family member A3	protein-coding	involved_in	IDA	  X	152,698,794	152,702,347	ParkinsonsUK-UCL, ParkinsonsUK-UCL	ParkinsonsUK-UCL	PMID:12097332 	  (PMID:12097332)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	735708	MAP2K5	mitogen-activated protein kinase kinase 5	protein-coding	involved_in	ISS	15	67,542,703	67,807,114	BHF-UCL, Ensembl, BHF-UCL	BHF-UCL,Ensembl	PMID:20551324 	  (PMID:20551324)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1313299	MDM2	MDM2 proto-oncogene	protein-coding		ISO	12	68,808,172	68,850,686	RGD	RGD	PMID:19850968 	caspase-2, caspase-3
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1604315	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	protein-coding	involved_in	IEA	 6	109,444,062	109,465,968	Ensembl, Ensembl	Ensembl	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1348634	MIR17	microRNA 17	ncrna	involved_in	ISS	13	91,350,605	91,350,688	BHF-UCL	BHF-UCL	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1603770	MIR494	microRNA 494	ncrna	acts_upstream_of_or_within	ISO	14	101,029,634	101,029,714	MGI	MGI	PMID:20837890 	  (MGI:5302482|PMID:20837890)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1348805	MIRLET7B	microRNA let-7b	ncrna	involved_in	IDA	22	46,113,686	46,113,768	BHF-UCL	BHF-UCL	PMID:26296645 	  (PMID:26296645)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1312564	MRTFA	myocardin related transcription factor A	protein-coding	acts_upstream_of_or_within	ISO	22	40,410,289	40,636,719	MGI	MGI	PMID:12019265 	  (MGI:2183867|PMID:12019265)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	730879	MT3	metallothionein 3	protein-coding	involved_in	IDA	16	56,589,528	56,591,085	UniProt, UniProt	UniProt	PMID:16387743 	  (PMID:16387743)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1343112	NAIP	NLR family apoptosis inhibitory protein	protein-coding	involved_in	IDA	 5	70,968,166	71,025,339	GO_Central, GOC, GO_Central, UniProt, GOC, UniProt	GO_Central,GOC,UniProt	PMID:11896143 PMID:21873635 	  (PMID:21873635),  (PMID:11896143)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1352407	NOL3	nucleolar protein 3	protein-coding	involved_in	ISO	16	67,170,538	67,175,737	UniProt	UniProt	PMID:19001025 	PMID:19001025
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	732751	NR4A1	nuclear receptor subfamily 4 group A member 1	protein-coding	involved_in,acts_upstream_of_or_within	ISO	12	52,022,832	52,059,503	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:12815108 	  (MGI:2667579|PMID:12815108)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1313673	PAX2	paired box 2	protein-coding	involved_in	IDA	10	100,735,396	100,829,944	UniProt, UniProt	UniProt	PMID:10980123 PMID:17357786 	  (PMID:10980123), (PMID:17357786)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	68468	POR	cytochrome p450 oxidoreductase	protein-coding	involved_in	ISO	 7	75,915,155	75,986,855	Ensembl, Ensembl, RGD	Ensembl,RGD	PMID:19264869 	caspase-3
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1349610	PRDX3	peroxiredoxin 3	protein-coding	involved_in	IEA	10	119,167,720	119,178,812	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1347956	PRDX5	peroxiredoxin 5	protein-coding	involved_in	IEA	11	64,318,121	64,321,811	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1342884	PTGER2	prostaglandin E receptor 2	protein-coding	involved_in	ISO	14	52,314,312	52,328,598	CAFA	CAFA	PMID:21716255 	  (PMID:21716255)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	731006	PTGS2	prostaglandin-endoperoxide synthase 2	protein-coding	involved_in	IEA	 1	186,671,791	186,680,423	Ensembl, Ensembl	Ensembl	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	733876	PTMA	prothymosin alpha	protein-coding		ISO	 2	231,708,525	231,713,551	RGD	RGD	PMID:12522243 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	737596	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	protein-coding	involved_in	TAS	 3	12,583,601	12,664,117	UniProt, UniProt	UniProt	PMID:21779496 	  (PMID:21779496)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1317876	RAG1	recombination activating 1	protein-coding	involved_in,acts_upstream_of_or_within	ISO	11	36,510,353	36,579,762	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:15728238 	  (MGI:3531056|PMID:15728238)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	732451	RPS6KA1	ribosomal protein S6 kinase A1	protein-coding	involved_in	IDA	 1	26,529,761	26,575,025	UniProt, UniProt	UniProt	PMID:18402937 	  (PMID:18402937)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1354498	RPS6KA3	ribosomal protein S6 kinase A3	protein-coding	involved_in	IDA	  X	20,149,911	20,267,097	UniProt, UniProt	UniProt	PMID:18402937 	  (PMID:18402937)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1318666	SERPINB9	serpin family B member 9	protein-coding	involved_in	IEA	 6	2,887,270	2,903,309	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1312341	SFN	stratifin	protein-coding	involved_in	IDA	 1	26,863,149	26,864,456	HGNC-UCL, HGNC-UCL	HGNC-UCL	PMID:11574543 	  (PMID:11574543)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1345643	SFRP2	secreted frizzled related protein 2	protein-coding	involved_in,acts_upstream_of_or_within	ISO	 4	153,780,591	153,789,083	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:17251350 	  (MGI:3702339|PMID:17251350)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1348094	SH3RF1	SH3 domain containing ring finger 1	protein-coding	involved_in	IMP	 4	169,094,259	169,270,956	UniProt, UniProt	UniProt	PMID:21586138 	  (PMID:21586138)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	734303	SIAH2	siah E3 ubiquitin protein ligase 2	protein-coding	involved_in	IMP	 3	150,741,125	150,763,169	UniProt, UniProt	UniProt	PMID:21586138 	  (PMID:21586138)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	733186	SNCA	synuclein alpha	protein-coding	involved_in	IMP	 4	89,724,099	89,838,304	UniProt, UniProt	UniProt	PMID:10818098 	  (PMID:10818098)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1350530	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	protein-coding	involved_in	IMP	20	37,344,699	37,406,050	UniProt, UniProt	UniProt	PMID:19767770 	  (PMID:19767770)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1345942	THBS1	thrombospondin 1	protein-coding	involved_in	IDA	15	39,581,079	39,599,466	UniProt, UniProt	UniProt	PMID:18653767 	  (PMID:18653767)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1344192	TNF	tumor necrosis factor	protein-coding	acts_upstream_of_or_within	IGI	 6	31,575,565	31,578,336	ARUK-UCL, ARUK-UCL	ARUK-UCL	PMID:31124343 	  (PMID:31124343)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1314220	TNFAIP8	TNF alpha induced protein 8	protein-coding	involved_in	IEA	 5	119,268,759	119,399,688	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1352930	TNFSF14	TNF superfamily member 14	protein-coding	involved_in	IEA	19	6,661,253	6,670,588	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1602327	TRIAP1	TP53 regulated inhibitor of apoptosis 1	protein-coding	involved_in	IMP	12	120,443,964	120,446,384	BHF-UCL, BHF-UCL	BHF-UCL	PMID:15735003 	  (PMID:15735003)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1321301	USP47	ubiquitin specific peptidase 47	protein-coding	involved_in	IMP	11	11,841,972	11,961,887	UniProt, UniProt	UniProt	PMID:19966869 	  (PMID:19966869)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	731072	VEGFA	vascular endothelial growth factor A	protein-coding	involved_in	IDA	 6	43,770,209	43,786,487	UniProt, UniProt	UniProt	PMID:18386220 	  (PMID:18386220)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1316011	VIL1	villin 1	protein-coding	involved_in	IEA	 2	218,419,123	218,453,295	GOC, GOC	GOC	 	
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1312797	WNT9A	Wnt family member 9A	protein-coding	acts_upstream_of_or_within	ISO	 1	227,918,656	227,947,932	MGI	MGI	PMID:19422823 	  (MGI:4368092|PMID:19422823)
Human	GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	gene	1353417	XIAP	X-linked inhibitor of apoptosis	protein-coding	involved_in,acts_upstream_of_or_within	ISO	  X	123,859,708	123,913,972	UniProt, UniProt, Ensembl, MGI	UniProt,Ensembl,MGI	PMID:11583623 PMID:12011074 PMID:12153481 	  (PMID:11583623),  (MGI:2183141|PMID:12011074), (MGI:2183348|PMID:12153481)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	1344567	CAAP1	caspase activity and apoptosis inhibitor 1	protein-coding	involved_in	IBA	 9	26,840,685	26,892,802	UniProt, UniProt, GO_Central, GO_Central	UniProt,GO_Central	PMID:21873635 PMID:21980415 	  (PMID:21980415),  (PMID:21873635)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	735276	IL9	interleukin 9	protein-coding	acts_upstream_of_or_within,involved_in	ISO	 5	135,892,246	135,895,841	MGI, Ensembl, Ensembl	MGI,Ensembl	PMID:18551134 	  (MGI:4367548|PMID:18551134)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	735670	IL9R	interleukin 9 receptor	protein-coding	acts_upstream_of_or_within	ISO	  X<br/>  Y	155,997,696<br/>57,184,072	156,013,020<br/>57,197,869	MGI	MGI	PMID:18551134 	  (MGI:4367548|PMID:18551134)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	1348437	MMP9	matrix metallopeptidase 9	protein-coding	involved_in	IMP	20	46,008,908	46,016,561	CACAO, CACAO	CACAO	PMID:22984561 	  (PMID:22984561)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	1604007	NLE1	notchless homolog 1	protein-coding	involved_in,acts_upstream_of_or_within	ISO	17	35,128,730	35,142,303	Ensembl, Ensembl, MGI	Ensembl,MGI	PMID:23231322 	  (MGI:5468737|PMID:23231322)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	1344212	PARK7	Parkinsonism associated deglycase	protein-coding	involved_in	IMP	 1	7,961,711	7,985,505	ParkinsonsUK-UCL, ParkinsonsUK-UCL	ParkinsonsUK-UCL	PMID:21785459 	  (PMID:21785459)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	1605995	PIH1D1	PIH1 domain containing 1	protein-coding	involved_in	IMP	19	49,446,298	49,451,814	UniProt, UniProt	UniProt	PMID:21078300 	  (PMID:21078300)
Human	GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	gene	735638	PLAUR	plasminogen activator, urokinase receptor	protein-coding	involved_in	IMP	19	43,646,095	43,670,169	CACAO, CACAO	CACAO	PMID:22984561 	  (PMID:22984561)
Human	GO:2001271	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	gene	732793	PAK2	p21 (RAC1) activated kinase 2	protein-coding	involved_in	IDA	 3	196,739,857	196,832,647	UniProt, UniProt	UniProt	PMID:21555521 	  (PMID:21555521)
Human	GO:2001271	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	gene	1605590	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase	protein-coding	involved_in	IMP	17	35,005,990	35,089,226	UniProt, GO_Central, GO_Central, UniProt	UniProt,GO_Central	PMID:15069192 PMID:21873635 	  (PMID:15069192),  (PMID:21873635)
Human	GO:2001271	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	gene	1352323	RNF34	ring finger protein 34	protein-coding	involved_in	IMP	12	121,400,118	121,424,348	GO_Central, UniProt, GO_Central, UniProt	GO_Central,UniProt	PMID:15069192 PMID:21873635 	  (PMID:21873635),  (PMID:15069192)
Human	GO:1900758	negative regulation of D-amino-acid oxidase activity	gene	1349838	DAOA	D-amino acid oxidase activator	protein-coding	involved_in	IDA	13	105,465,867	105,491,034	InterPro, InterPro, UniProt, UniProt	InterPro,UniProt	PMID:21679769 	  (PMID:21679769)
Human	GO:0032076	negative regulation of deoxyribonuclease activity	gene	1606338	DFFA	DNA fragmentation factor subunit alpha	protein-coding	involved_in	IMP	 1	10,456,522	10,472,529	GOC, GOC, CAFA, CAFA	GOC,CAFA	PMID:19944011 	  (PMID:19944011)
Human	GO:1905775	negative regulation of DNA helicase activity	gene	1313689	MCM2	minichromosome maintenance complex component 2	protein-coding	involved_in	IEA	 3	127,598,411	127,622,436	InterPro, InterPro, UniProt	InterPro,UniProt	 	
Human	GO:1905775	negative regulation of DNA helicase activity	gene	733503	MNAT1	MNAT1 component of CDK activating kinase	protein-coding	involved_in	IDA	14	60,734,761	60,969,965	UniProt, UniProt	UniProt	PMID:11445587 	  (PMID:11445587)
Human	GO:1904876	negative regulation of DNA ligase activity	gene	1322916	TFIP11	tuftelin interacting protein 11	protein-coding	involved_in	IC	22	26,491,240	26,512,473	BHF-UCL, BHF-UCL	BHF-UCL	PMID:17389648 	  (PMID:17389648)
Human	GO:1904733	negative regulation of electron transfer activity	gene	1602640	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	protein-coding	involved_in	IMP	12	31,647,160	31,673,114	UniProt, UniProt	UniProt	PMID:25416781 	  (PMID:25416781)
Human	GO:0032078	negative regulation of endodeoxyribonuclease activity	gene	1348122	GZMA	granzyme A	protein-coding	involved_in	IDA	 5	55,102,646	55,110,252	UniProt, UniProt	UniProt	PMID:12524539 	  (PMID:12524539)
Human	GO:0010951	negative regulation of endopeptidase activity	gene	735738	A2M	alpha-2-macroglobulin	protein-coding	involved_in	ISO	12	9,067,708	9,116,229	GOC, Ensembl, GOC, Ensembl, RGD	GOC,Ensembl,RGD	PMID:19240864 	
Human	GO:0010951	negative regulation of endopeptidase activity	gene	1606453	A2ML1	alpha-2-macroglobulin like 1	protein-coding	involved_in	IEA	12	8,822,621	8,887,459	GOC, GOC	GOC	 	
Human	GO:0010951	negative regulation of endopeptidase activity	gene	16564822	AC011479.1	novel protein	protein-coding	involved_in	IEA	    			GOC, GOC	GOC	 	
Human	GO:0010951	negative regulation of endopeptidase activity	gene	16550838	AC024940.1	ovostatin 2	pseudo	involved_in	IEA	12	31,111,652	31,201,235	GOC, GOC	GOC	 	
